,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
0,"город Москва, улица Егора Абакумова, дом 9",Северо-восточный,Ярославский,55.8789964,37.7144617,ул Егора Абакумова,
1,"город Москва, улица Талалихина, дом 2/1, корпус 1",Центральный,Таганский,55.7382978,37.6733369,ул Талалихина,
2,"город Москва, Абельмановская улица, дом 6",,Таганский,,,ул Абельмановская,Таганский
3,"город Москва, Абрамцевская улица, дом 1",,Лианозово,,,ул Абрамцевская,Лианозово
4,"город Москва, Абрамцевская улица, дом 9, корпус 1",Северо-восточный,Лианозово,55.9041256,37.572181,ул Абрамцевская,
5,"город Москва, Абрамцевская улица, дом 15, корпус 1",Северо-восточный,Лианозово,55.9067192,37.5715402,ул Абрамцевская,
6,"город Москва, переулок Сивцев Вражек, дом 6/2",,Арбат,,,пер Сивцев Вражек,Арбат
7,"город Москва, Авиамоторная улица, дом 8, строение 1",Юго-восточный,Лефортово,55.7548754,37.71555,ул Авиамоторная,
8,"город Москва, Авиамоторная улица, дом 47",Юго-восточный,Лефортово,55.7498347,37.7188719,ул Авиамоторная,
9,"город Москва, Авиамоторная улица, дом 49/1",,Лефортово,,,ул Авиамоторная,Лефортово
10,"город Москва, Авиамоторная улица, дом 51",,Лефортово,,,ул Авиамоторная,Лефортово
11,"город Москва, улица Авиаторов, дом 14",,Солнцево,,,ул Авиаторов,Солнцево
12,"город Москва, улица Авиаторов, дом 16",,Солнцево,,,ул Авиаторов,Солнцево
13,"город Москва, улица Авиаторов, дом 18",,Солнцево,,,ул Авиаторов,Солнцево
14,"город Москва, Азовская улица, дом 3",,Зюзино,,,ул Азовская,Зюзино
15,"город Москва, Азовская улица, дом 4",,Зюзино,,,ул Азовская,Зюзино
16,"город Москва, Большая Академическая улица, дом 65",,Коптево,,,ул Академическая Б.,Коптево
17,"город Москва, Филипповский переулок, дом 15/5",Центральный,Арбат,55.7506117,37.598639,Филипповский пер,
18,"город Москва, Алтайская улица, дом 33/7",,Гольяново,,,ул Алтайская,Гольяново
19,"город Москва, Алтуфьевское шоссе, дом 14",,Отрадное,,,Алтуфьевское шоссе,Отрадное
20,"город Москва, Алтуфьевское шоссе, дом 42Б",Северо-восточный,Отрадное,55.8729175,37.5891345,Алтуфьевское шоссе,
21,"город Москва, Алтуфьевское шоссе, дом 56",,Алтуфьевский,,,Алтуфьевское шоссе,Алтуфьевский
22,"город Москва, Алтуфьевское шоссе, дом 102Б",Северо-восточный,Бибирево,55.9042022,37.5913567,Алтуфьевское шоссе,
23,"город Москва, улица Амундсена, дом 10",,Свиблово,,,ул Амундсена,Свиблово
24,"город Москва, Анадырский проезд, дом 55",Северо-восточный,Лосиноостровский,55.8781707,37.7051722,Анадырский проезд,
25,"город Москва, Ангарская улица, дом 1, корпус 2",Северный,Западное Дегунино,55.8717929,37.5099618,ул Ангарская,
26,"город Москва, Ангарская улица, дом 39",Северный,Дмитровский,55.87919,37.524423,ул Ангарская,
27,"город Москва, проспект Андропова, дом 17, корпус 2",Южный,Нагатинский Затон,55.683317,37.6681513,пр-кт Андропова,
28,"город Москва, проспект Андропова, дом 26",,Нагатино-Садовники,,,пр-кт Андропова,Нагатино-Садовники
29,"город Москва, проспект Андропова, дом 30",,Нагатино-Садовники,,,пр-кт Андропова,Нагатино-Садовники
30,"город Москва, проспект Андропова, дом 35А",Южный,Нагатинский Затон,55.6734895,37.6648106,пр-кт Андропова,
31,"город Москва, проспект Андропова, дом 38, корпус 2",Южный,Нагатино-Садовники,55.674395,37.6596995,пр-кт Андропова,
32,"город Москва, улица Арбат, дом 4, строение 1",Центральный,Арбат,55.7519271,37.5983563,ул Арбат,
33,"город Москва, улица Арбат, дом 6/2",,Арбат,,,ул Арбат,Арбат
34,"город Москва, улица Арбат, дом 23, строение 1",Центральный,Арбат,55.7505052,37.5953612,ул Арбат,
35,"город Москва, улица Арбат, дом 25/36",Центральный,Арбат,55.7500914,37.5946787,ул Арбат,
36,"город Москва, улица Арбат, дом 29",,Арбат,,,ул Арбат,Арбат
37,"город Москва, улица Арбат, дом 31",,Арбат,,,ул Арбат,Арбат
38,"город Москва, улица Арбат, дом 32",,Арбат,,,ул Арбат,Арбат
39,"город Москва, улица Арбат, дом 36/2, строение 1",Центральный,Арбат,55.7487998,37.5888047,ул Арбат,
40,"город Москва, улица Арбат, дом 45/24",Центральный,Арбат,55.7482511,37.5881686,ул Арбат,
41,"город Москва, улица Арбат, дом 47/23",Центральный,Арбат,55.7481572,37.587556,ул Арбат,
42,"город Москва, улица Артамонова, дом 7",,Фили-Давыдково,,,ул Артамонова,Фили-Давыдково
43,"город Москва, Астраханский переулок, дом 1/15",,Мещанский,,,Астраханский пер,Мещанский
44,"город Москва, Астраханский переулок, дом 5/9",Центральный,Мещанский,55.7787612,37.6395483,Астраханский пер,
45,"город Москва, Аэродромная улица, дом 9",,Южное Тушино,,,ул Аэродромная,Южное Тушино
46,"город Москва, Бабаевская улица, дом 3",,Сокольники,,,ул Бабаевская,Сокольники
47,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",Юго-западный,Академический,55.6850668,37.5622507,ул Ивана Бабушкина,
48,"город Москва, улица Ивана Бабушкина, дом 17, корпус 1",Юго-западный,Академический,55.6846697,37.5612921,ул Ивана Бабушкина,
49,"город Москва, Байкальская улица, дом 29",Восточный,Гольяново,55.8177618,37.8071743,ул Байкальская,
50,"город Москва, Байкальская улица, дом 31",Восточный,Гольяново,55.8175335,37.8084583,ул Байкальская,
51,"город Москва, Бакинская улица, дом 29",,,,,ул Бакинская,
52,"город Москва, Балаклавский проспект, дом 48, корпус 1",Юго-западный,Зюзино,55.6484944,37.5711691,Балаклавский пр-кт,
53,"город Москва, Балаклавский проспект, дом 54",,Зюзино,,,Балаклавский пр-кт,Зюзино
54,"город Москва, 1-й Балтийский переулок, дом 3/25",Северный,Аэропорт,55.8105261,37.5188475,пер Балтийский 1-й,
55,"город Москва, улица Барклая, дом 16, корпус 1",Западный,Филевский парк,55.7458863,37.496602,ул Барклая,
56,"город Москва, Новая Басманная улица, дом 12, строение 2",Центральный,Басманный,55.7689738,37.6571772,ул Басманная Нов.,
57,"город Москва, Бауманская улица, дом 33/2, строение 1",Центральный,Басманный,55.7727853,37.6786673,ул Бауманская,
58,"город Москва, Бауманская улица, дом 35/1",,Басманный,,,ул Бауманская,Басманный
59,"город Москва, Татарская улица, дом 14",,улица Димитрова,,,ул Татарская,улица Димитрова
60,"город Москва, Башиловская улица, дом 3, корпус 1",Северный,Савеловский,55.7940883,37.5763982,ул Башиловская,
