,address,city_district,geo_lat,geo_lon
0,"город Москва, улица Егора Абакумова, дом 9",Ярославский,55.8789964,37.7144617
1,"город Москва, улица Талалихина, дом 2/1, корпус 1",Таганский,55.7382978,37.6733369
2,"город Москва, Абельмановская улица, дом 6",,,
3,"город Москва, Абрамцевская улица, дом 1",,,
4,"город Москва, Абрамцевская улица, дом 9, корпус 1",Лианозово,55.9041256,37.572181
5,"город Москва, Абрамцевская улица, дом 15, корпус 1",Лианозово,55.9067192,37.5715402
6,"город Москва, переулок Сивцев Вражек, дом 6/2",,,
7,"город Москва, Авиамоторная улица, дом 8, строение 1",Лефортово,55.7548754,37.71555
8,"город Москва, Авиамоторная улица, дом 47",Лефортово,55.7498347,37.7188719
9,"город Москва, Авиамоторная улица, дом 49/1",,,
10,"город Москва, Авиамоторная улица, дом 51",,,
11,"город Москва, улица Авиаторов, дом 14",,,
12,"город Москва, улица Авиаторов, дом 16",,,
13,"город Москва, улица Авиаторов, дом 18",,,
14,"город Москва, Азовская улица, дом 3",,,
15,"город Москва, Азовская улица, дом 4",,,
16,"город Москва, Большая Академическая улица, дом 65",,,
17,"город Москва, Филипповский переулок, дом 15/5",Арбат,55.7506117,37.598639
18,"город Москва, Алтайская улица, дом 33/7",,,
19,"город Москва, Алтуфьевское шоссе, дом 14",,,
20,"город Москва, Алтуфьевское шоссе, дом 42Б",Отрадное,55.8729175,37.5891345
21,"город Москва, Алтуфьевское шоссе, дом 56",,,
22,"город Москва, Алтуфьевское шоссе, дом 102Б",Бибирево,55.9042022,37.5913567
23,"город Москва, улица Амундсена, дом 10",,,
24,"город Москва, Анадырский проезд, дом 55",Лосиноостровский,55.8781707,37.7051722
25,"город Москва, Ангарская улица, дом 1, корпус 2",Западное Дегунино,55.8717929,37.5099618
26,"город Москва, Ангарская улица, дом 39",Дмитровский,55.87919,37.524423
27,"город Москва, проспект Андропова, дом 17, корпус 2",Нагатинский Затон,55.683317,37.6681513
28,"город Москва, проспект Андропова, дом 26",,,
29,"город Москва, проспект Андропова, дом 30",,,
30,"город Москва, проспект Андропова, дом 35А",Нагатинский Затон,55.6734895,37.6648106
31,"город Москва, проспект Андропова, дом 38, корпус 2",Нагатино-Садовники,55.674395,37.6596995
32,"город Москва, улица Арбат, дом 4, строение 1",Арбат,55.7519271,37.5983563
33,"город Москва, улица Арбат, дом 6/2",,,
34,"город Москва, улица Арбат, дом 23, строение 1",Арбат,55.7505052,37.5953612
35,"город Москва, улица Арбат, дом 25/36",Арбат,55.7500914,37.5946787
36,"город Москва, улица Арбат, дом 29",,,
37,"город Москва, улица Арбат, дом 31",,,
38,"город Москва, улица Арбат, дом 32",,,
39,"город Москва, улица Арбат, дом 36/2, строение 1",Арбат,55.7487998,37.5888047
40,"город Москва, улица Арбат, дом 45/24",Арбат,55.7482511,37.5881686
41,"город Москва, улица Арбат, дом 47/23",Арбат,55.7481572,37.587556
42,"город Москва, улица Артамонова, дом 7",,,
43,"город Москва, Астраханский переулок, дом 1/15",,,
44,"город Москва, Астраханский переулок, дом 5/9",Мещанский,55.7787612,37.6395483
45,"город Москва, Аэродромная улица, дом 9",,,
46,"город Москва, Бабаевская улица, дом 3",,,
47,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",Академический,55.6850668,37.5622507
48,"город Москва, улица Ивана Бабушкина, дом 17, корпус 1",Академический,55.6846697,37.5612921
49,"город Москва, Байкальская улица, дом 29",Гольяново,55.8177618,37.8071743
50,"город Москва, Байкальская улица, дом 31",Гольяново,55.8175335,37.8084583
51,"город Москва, Бакинская улица, дом 29",,,
52,"город Москва, Балаклавский проспект, дом 48, корпус 1",Зюзино,55.6484944,37.5711691
53,"город Москва, Балаклавский проспект, дом 54",,,
54,"город Москва, 1-й Балтийский переулок, дом 3/25",Аэропорт,55.8105261,37.5188475
55,"город Москва, улица Барклая, дом 16, корпус 1",Филевский парк,55.7458863,37.496602
56,"город Москва, Новая Басманная улица, дом 12, строение 2",Басманный,55.7689738,37.6571772
57,"город Москва, Бауманская улица, дом 33/2, строение 1",Басманный,55.7727853,37.6786673
58,"город Москва, Бауманская улица, дом 35/1",,,
59,"город Москва, Татарская улица, дом 14",,,
60,"город Москва, Башиловская улица, дом 3, корпус 1",Савеловский,55.7940883,37.5763982
61,"город Москва, Башиловская улица, дом 19",,,
62,"город Москва, Башиловская улица, дом 21",,,
63,"город Москва, Беговая улица, дом 7",,,
64,"город Москва, Беговая улица, дом 17, корпус 1",Беговой,55.7815473,37.5596986
65,"город Москва, Беговая улица, дом 28",,,
66,"город Москва, улица Демьяна Бедного, дом 4",,,
67,"город Москва, Белореченская улица, дом 13, корпус 1",Люблино,55.6733406,37.7671652
68,"город Москва, Белореченская улица, дом 17",Люблино,55.6725767,37.767105
69,"город Москва, Бережковская набережная, дом 8",,,
70,"город Москва, Бережковская набережная, дом 14",,,
71,"город Москва, улица Берзарина, дом 8",,,
72,"город Москва, Бескудниковский бульвар, дом 40, корпус 3",Бескудниковский,55.8740678,37.5512582
73,"город Москва, Бескудниковский бульвар, дом 57, корпус 1",Бескудниковский,55.8724139,37.5388564
74,"город Москва, улица Бестужевых, дом 23",,,
75,"город Москва, Бибиревская улица, дом 7, корпус 1",Алтуфьевский,55.8802782,37.5930526
76,"город Москва, улица Маршала Бирюзова, дом 4, корпус 1",Щукино,55.790757,37.499579
77,"город Москва, улица Маршала Бирюзова, дом 4, корпус 2",Щукино,55.791046,37.500953
78,"город Москва, улица Маршала Бирюзова, дом 9",Щукино,55.79144,37.496345
79,"город Москва, улица Маршала Бирюзова, дом 12",Щукино,55.793328,37.494458
80,"город Москва, улица Маршала Бирюзова, дом 13",,,
81,"город Москва, улица Маршала Бирюзова, дом 16",Щукино,55.794593,37.492051
82,"город Москва, улица Маршала Бирюзова, дом 19",Щукино,55.794366,37.491143
83,"город Москва, улица Маршала Бирюзова, дом 21",,,
84,"город Москва, улица Маршала Бирюзова, дом 22, корпус 1",Щукино,55.79599,37.48958
85,"город Москва, улица Маршала Бирюзова, дом 28",Щукино,55.797387,37.486661
86,"город Москва, Бойцовая улица, дом 17, корпус 1",Богородское,55.8116692,37.7183006
87,"город Москва, Болотниковская улица, дом 47, корпус 1",Зюзино,55.6617075,37.5831835
88,"город Москва, Коктебельская улица, дом 11, строение 3",Северное Бутово,55.5637825,37.585041
89,"город Москва, Ботаническая улица, дом 11",,,
90,"город Москва, 1-й Боткинский проезд, дом 2/6",Беговой,55.7816122,37.5560082
91,"город Москва, улица Академика Бочвара, дом 7, корпус 1",Щукино,55.8060522,37.4618247
92,"город Москва, улица Бочкова, дом 5",,,
93,"город Москва, 2-я Брестская улица, дом 24/15",,,
94,"город Москва, 2-я Брестская улица, дом 43",,,
95,"город Москва, Бригадирский переулок, дом 3-5",,,
96,"город Москва, Большая Бронная улица, дом 2/6",Пресненский,55.7600654,37.5973821
97,"город Москва, Большая Бронная улица, дом 27/4",Тверской,55.7643172,37.6026265
98,"город Москва, Большая Бронная улица, дом 29",,,
99,"город Москва, Малая Бронная улица, дом 4",,,
100,"город Москва, Малая Бронная улица, дом 10, строение 1",Пресненский,55.7606165,37.5967
101,"город Москва, Малая Бронная улица, дом 20, строение 1",Пресненский,55.7623592,37.595706
102,"город Москва, Малая Бронная улица, дом 20А",Пресненский,55.7625433,37.5964512
103,"город Москва, Малая Бронная улица, дом 21/13, строение 1",Пресненский,55.7627158,37.594888
104,"город Москва, Малая Бронная улица, дом 22, строение 1",Пресненский,55.762675,37.5952291
105,"город Москва, Малая Бронная улица, дом 27/14",Пресненский,55.7633122,37.5939513
106,"город Москва, Будайская улица, дом 3",,,
107,"город Москва, проспект Будённого, дом 1/1",,,
108,"город Москва, проспект Будённого, дом 24, корпус 1",Соколиная Гора,55.7652017,37.7318519
109,"город Москва, Булатниковская улица, дом 5, корпус 4",Бирюлево Западное,55.5789865,37.6510052
110,"город Москва, улица Бутлерова, дом 22",,,
111,"город Москва, Бутырская улица, дом 7",,,
112,"город Москва, Бутырская улица, дом 9, корпус 2",Савеловский,55.7949203,37.5837954
113,"город Москва, Бутырская улица, дом 11",,,
114,"город Москва, Бутырская улица, дом 79",,,
115,"город Москва, Бутырская улица, дом 84",,,
116,"город Москва, Бутырская улица, дом 89",,,
117,"город Москва, улица Вавилова, дом 72/13",,,
118,"город Москва, улица Вавилова, дом 81",,,
119,"город Москва, Нахимовский проспект, владение 75А",Ломоносовский,55.6835026,37.5527533
120,"город Москва, Валовая улица, дом 2-4/44, строение 1",Замоскворечье,55.7312241,37.6348988
121,"город Москва, Валовая улица, дом 6",,,
122,"город Москва, Валовая улица, дом 8/18",,,
123,"город Москва, Валовая улица, дом 11/19",,,
124,"город Москва, Варсонофьевский переулок, дом 6",,,
125,"город Москва, Варшавское шоссе, дом 2",Донской,,
126,"город Москва, Варшавское шоссе, дом 7, корпус 1",Донской,55.700877,37.622405
127,"город Москва, Варшавское шоссе, дом 29",Донской,,
128,"город Москва, Варшавское шоссе, дом 72, корпус 2",Нагорный,55.656869,37.618758
129,"город Москва, Варшавское шоссе, дом 100",Нагорный,55.646061,37.618902
130,"город Москва, Варшавское шоссе, дом 143А",Чертаново Южное,,
131,"город Москва, улица Маршала Василевского, дом 3, корпус 1",Щукино,55.8032129,37.473136
132,"город Москва, улица Маршала Василевского, дом 11, корпус 1",Щукино,55.8056221,37.4684622
133,"город Москва, улица Маршала Василевского, дом 17",,,
134,"город Москва, Васильевская улица, дом 2, корпус 1",Пресненский,55.7697319,37.5857383
135,"город Москва, Васильевская улица, дом 4",,,
136,"город Москва, Велозаводская улица, дом 6",,,
137,"город Москва, Вельяминовская улица, дом 6",,,
138,"город Москва, проспект Вернадского, дом 9/10",Гагаринский,55.6894912,37.5314479
139,"город Москва, проспект Вернадского, дом 11/19",Ломоносовский,55.688741,37.5287928
140,"город Москва, проспект Вернадского, дом 13",Ломоносовский,,
141,"город Москва, улица Кравченко, дом 24/35",Ломоносовский,55.6800451,37.5135241
142,"город Москва, проспект Вернадского, дом 37",Проспект Вернадского,,
143,"город Москва, проспект Вернадского, дом 86, строение 1",Тропарево-Никулино,55.6604384,37.4745984
144,"город Москва, проспект Вернадского, дом 93",Проспект Вернадского,,
145,"город Москва, проспект Вернадского, дом 97, корпус 1",Тропарево-Никулино,55.6671211,37.491379
146,"город Москва, проспект Вернадского, дом 103, корпус 1",Тропарево-Никулино,55.6633678,37.4927574
147,"город Москва, проспект Вернадского, дом 125",Тропарёво-Никулино,,
148,"город Москва, Верхняя улица, дом 3, корпус 2",Беговой,55.776805,37.5748787
149,"город Москва, Весковский переулок, дом 4",Тверской,55.7784265,37.599651
150,"город Москва, Глазовский переулок, дом 5",,,
151,"город Москва, улица Вешних Вод, дом 6, корпус 1",Ярославский,55.859424,37.6976197
152,"город Москва, улица Вешних Вод, дом 8, корпус 2",Ярославский,55.8593671,37.6994915
153,"город Москва, Вешняковская улица, дом 2",,,
154,"город Москва, улица Вилиса Лациса, дом 23, корпус 1",Северное Тушино,55.8628349,37.4203113
155,"город Москва, улица Вилиса Лациса, дом 33, корпус 1",Северное Тушино,55.8598486,37.409579
156,"город Москва, 1-я Владимирская улица, дом 9",,,
157,"город Москва, 1-я Владимирская улица, дом 14",,,
158,"город Москва, 1-я Владимирская улица, дом 21",,,
159,"город Москва, 1-я Владимирская улица, дом 39/12",Перово,55.7495437,37.7805131
160,"город Москва, 2-я Владимирская улица, дом 22",,,
161,"город Москва, 2-я Владимирская улица, дом 36",,,
162,"город Москва, 2-я Владимирская улица, дом 44/10",,,
163,"город Москва, 2-я Владимирская улица, дом 52, корпус 2",Перово,55.7462919,37.7867885
164,"город Москва, 3-я Владимирская улица, дом 6",,,
165,"город Москва, 3-я Владимирская улица, дом 27",,,
166,"город Москва, 3-я Владимирская улица, дом 29",Перово,55.7535098,37.7915913
167,"город Москва, улица Архитектора Власова, дом 11, корпус 1",Черемушки,55.6786387,37.5527225
168,"город Москва, улица Архитектора Власова, дом 47",Обручевский,55.666519,37.5437582
169,"город Москва, улица Академика Волгина, дом 6",,,
170,"город Москва, улица Академика Волгина, дом 29, корпус 1",Коньково,55.6436074,37.5079385
171,"город Москва, Волгоградский проспект, дом 4",,,
172,"город Москва, Волгоградский проспект, дом 15",,,
173,"город Москва, Волгоградский проспект, дом 17, строение 1",Таганский,55.728951,37.6800311
174,"город Москва, Волгоградский проспект, дом 17",,,
175,"город Москва, Волгоградский проспект, дом 66, корпус 4",Кузьминки,55.7045383,37.756902
176,"город Москва, Волгоградский проспект, дом 103, корпус 6",Кузьминки,55.7095982,37.7570954
177,"город Москва, Волгоградский проспект, дом 157, корпус 4",Кузьминки,55.7054383,37.7871974
178,"город Москва, Ферганская улица, дом 12",Выхино-Жулебино,55.7079682,37.8087692
179,"город Москва, Волоколамское шоссе, дом 3",,,
180,"город Москва, Волоколамское шоссе, дом 13",,,
181,"город Москва, Волоколамское шоссе, дом 15/22",,,
182,"город Москва, Волоколамское шоссе, дом 92",,,
183,"город Москва, улица Волхонка, дом 6",,,
184,"город Москва, улица Волхонка, дом 7/6",,,
185,"город Москва, Воронежская улица, дом 26, корпус 4",Орехово-Борисово Южное,55.6083353,37.7369197
186,"город Москва, Воронцовская улица, дом 13/14, строение 3",Таганский,55.7396385,37.6577209
187,"город Москва, Воронцовская улица, дом 36, строение 1",Таганский,55.7343372,37.6615082
188,"город Москва, Воронцовская улица, дом 48",Таганский,55.7326151,37.6637271
189,"город Москва, Воротниковский переулок, дом 11, строение 1",Тверской,55.7703505,37.6012732
190,"город Москва, Кудринская площадь, дом 1",,,
191,"город Москва, улица 8 Марта, дом 15",,,
192,"город Москва, 2-й Вышеславцев переулок, дом 17",Марьина роща,55.7905957,37.6060191
193,"город Москва, улица Бориса Галушкина, дом 5",,,
194,"город Москва, улица Бориса Галушкина, дом 10",,,
195,"город Москва, улица Бориса Галушкина, дом 26",Алексеевский,55.8204798,37.6650243
196,"город Москва, улица Гастелло, дом 37",,,
197,"город Москва, Гвардейская улица, дом 15, корпус 1",Можайский,55.7248734,37.4232738
198,"город Москва, улица Героев Панфиловцев, дом 1, корпус 1",Северное Тушино,55.8523315,37.4371602
199,"город Москва, улица Героев Панфиловцев, дом 13, корпус 1",Северное Тушино,55.8576044,37.4287299
200,"город Москва, улица Героев Панфиловцев, дом 16, корпус 1",Северное Тушино,55.8587363,37.4243639
201,"город Москва, улица Героев Панфиловцев, дом 51",,,
202,"город Москва, Большая Никитская улица, дом 24/1, строение 1",Пресненский,55.757355,37.6014102
203,"город Москва, Большая Никитская улица, дом 35",Пресненский,55.7573621,37.5951005
204,"город Москва, улица Гиляровского, дом 17",Мещанский,55.7765574,37.6301038
205,"город Москва, улица Гиляровского, дом 60, строение 1",Мещанский,55.7875144,37.6329556
206,"город Москва, Глебовская улица, дом 10",,,
207,"город Москва, Большой Гнездниковский переулок, дом 10",Тверской,55.7629963,37.6057865
208,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7",Тверской,55.7628006,37.6065755
209,"город Москва, Гоголевский бульвар, дом 8",,,
210,"город Москва, Гоголевский бульвар, дом 23",Арбат,55.7478885,37.5989593
211,"город Москва, Гоголевский бульвар, дом 25, строение 1",Арбат,55.7483576,37.5991813
212,"город Москва, Гоголевский бульвар, дом 33/1",Арбат,55.7508038,37.5999133
213,"город Москва, улица Маршала Голованова, дом 19",Марьино,55.6439933,37.7308776
214,"город Москва, Городецкая улица, дом 3",,,
215,"город Москва, Тверская улица, дом 6, строение 1",Тверской,55.7601961,37.6113936
216,"город Москва, Тверская улица, дом 12, строение 1",Тверской,55.7633777,37.6079013
217,"город Москва, Тверская улица, дом 12, строение 2",Тверской,55.7636675,37.6074222
218,"город Москва, Тверская улица, дом 12, строение 7",Тверской,55.7641013,37.6086045
219,"город Москва, Тверская улица, дом 12, строение 8",Тверской,55.7638346,37.6092805
220,"город Москва, Тверская улица, дом 14",,,
221,"город Москва, Тверская улица, дом 15",,,
222,"город Москва, Тверская улица, дом 17",,,
223,"город Москва, Тверская улица, дом 19",,,
224,"город Москва, Тверская улица, дом 19А",Тверской,55.7657115,37.6027644
225,"город Москва, Тверская улица, дом 27, строение 1",Тверской,55.7682502,37.5983086
226,"город Москва, Тверская улица, дом 27, строение 2",Тверской,55.7686194,37.5974507
227,"город Москва, Тверская улица, дом 30/2, строение 1",Тверской,55.7697472,37.5977403
228,"город Москва, 1-я Тверская-Ямская улица, дом 4",,,
229,"город Москва, 1-я Тверская-Ямская улица, дом 7",,,
230,"город Москва, 1-я Тверская-Ямская улица, дом 9",Тверской,55.7720723,37.5919033
231,"город Москва, 1-я Тверская-Ямская улица, дом 8",Тверской,55.7718453,37.5936022
232,"город Москва, 1-я Тверская-Ямская улица, дом 11",,,
233,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",Тверской,55.7733638,37.5898373
234,"город Москва, 1-я Тверская-Ямская улица, дом 12",,,
235,"город Москва, улица Госпитальный Вал, дом 22/2",Лефортово,55.7736839,37.7118501
236,"город Москва, улица Чаянова, дом 12",,,
237,"город Москва, Кутузовский проспект, дом 71",Фили-Давыдково,,
238,"город Москва, Большая Грузинская улица, дом 39",,,
239,"город Москва, улица Грузинский Вал, дом 26, строение 1",Пресненский,55.7745444,37.581708
240,"город Москва, улица Грузинский Вал, дом 28/45",Пресненский,55.7749812,37.582974
241,"город Москва, Грузинский переулок, дом 4",Пресненский,55.7714451,37.5823149
242,"город Москва, Грузинский переулок, дом 14",Пресненский,55.7736223,37.5800396
